,Player,Age,Preferred Foot,Position, Market Value When Signed , Market Value , Market Trend ,Active Squad,GP,GS,Mins,Sub,G,Goal Rank,G<18,G>18,G/90min,HG,PKG,PKA,PK%,S,SOT,SHT%,ASC%,DRBs,DRB%,G+A,P,PA,Pass%,POpp,POwn,Cross,A,A/90min,KP,LB,SP,LA,TO,GA,CS,HDR%,Duel,Duel%,INT,Image URL,Country,Country URL
13,D. Accam,29,Right,Forward," $660,000.00 "," $440,000.00 "," $(220,000.00)",No,7,2,206,5,1,7,1,0,0.44,0,0,0,0,6,3,0.5,0.33,7,0.318,1,35,46,0.76,26,11,2,0,0.00,3,1,34,0,6,4,0,0.3335,34,0.206,1,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/qn9grqqysbjc4bypwtck.png,Ghana,https://cdn.sofifa.com/flags/gh.png
36,R. Castellanos,23,Right,Defender," $165,000.00 "," $220,000.00 "," $55,000.00 ",Yes,1,1,90,0,1,7,1,0,1.00,1,0,0,0,2,1,0.5,1.00,0,0,1,49,53,0.92,6,43,0,0,0.00,0,5,44,3,1,1,0,0.4,6,0.3335,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/dl6ngn9bv8169edxucru.png,Mexico,https://cdn.sofifa.com/flags/mx.png
30,J. Willis,31,Left,Goalkeeper," $605,000.00 "," $495,000.00 "," $(110,000.00)",Yes,41,41,3690,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,549,915,0.60,141,408,0,0,0.00,1,241,308,141,1,39,17,0,13,0.6945,2,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/kmtsesffm4xonlebdkqx.png,USA,https://cdn.sofifa.com/flags/us.png
21,E. Miller,27,Right,Defender," $660,000.00 "," $330,000.00 "," $(330,000.00)",Yes,11,10,884,1,0,0,0,0,0.00,0,0,0,0,2,0,0,0.00,1,0,0,266,345,0.77,127,141,2,0,0.00,1,17,249,20,8,8,3,0.678,52,0.624,9,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/xccvsafcjccwj7zawqza.png,USA,https://cdn.sofifa.com/flags/us.png
3,A. Loba,22,Right,Forward," $3,300,000.00 "," $4,950,000.00 "," $1,650,000.00 ",Yes,5,1,118,4,0,0,0,0,0.00,0,0,0,0,1,0,0,0.00,1,0.125,0,20,25,0.80,14,7,1,0,0.00,2,2,18,0,8,1,0,0.25,21,0.1905,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_auto/mls-nsh-prd/afxifqejcbnmneopxaws.jpg,Ivory Coast,https://cdn.sofifa.com/flags/ci.png
23,H. Bwana,23,Right,Forward," $385,000.00 "," $880,000.00 "," $495,000.00 ",Yes,6,1,136,5,0,0,0,0,0.00,0,0,0,0,3,1,0.333333333,0.00,3,0.3335,0,32,43,0.74,24,10,2,0,0.00,3,0,32,0,8,2,0,0,18,0.75,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/ndsmlbpfwike7mlmyzl9.png,Kenya,https://cdn.sofifa.com/flags/ke.png
5,A. Winn,24,Left,Forward," $165,000.00 "," $165,000.00 ", $-   ,No,7,1,239,6,0,0,0,0,0.00,0,0,0,0,4,1,0.25,0.00,3,0.1875,0,90,111,0.81,63,28,1,0,0.00,0,2,88,1,8,2,0,0.3125,35,0.2715,3,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/jj5mujai98xnpaeyrgwp.png,USA,https://cdn.sofifa.com/flags/us.png
8,B. Beckeles,34,Right,Defender," $880,000.00 "," $385,000.00 "," $(495,000.00)",No,2,1,72,1,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,1,0.25,0,23,29,0.79,15,8,0,0,0.00,0,2,21,1,0,0,0,0,10,0.2,1,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/ncoqnqg5lslho7f8pspp.png,Honduras,https://cdn.sofifa.com/flags/hn.png
10,B. Scott,22,Right,Goalkeeper," $110,000.00 "," $110,000.00 ", $-   ,No,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/u2rqxh9xgcafjepbthq8.png,USA,https://cdn.sofifa.com/flags/us.png
34,M. Nazarit,22,Right,Defender," $440,000.00 "," $440,000.00 ", $-   ,No,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/bm2wha4yuljsiwsw5mme.png,Colombia,https://cdn.sofifa.com/flags/co.png
